# per   ampl
14.0342010186 0.0000279614
14.5963806129 0.0000283843
15.0331212675 0.0000481245
15.1923298539 0.0000357443
15.7060027146 0.0000284343
17.1470882236 0.0000349415
19.6996034946 0.0000258634
20.8417969097 0.0000331699
21.6384414986 0.0000481996
26.0108966309 0.0000424352
28.1374828837 0.0000663254
32.1269851810 0.0000376813
39.7576409805 0.0000285869
66.4049984747 0.0000403726
544.0165069099 0.0000278322
